"uzemi_txt","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","pocet_bodovanych_ridicu","celkovy_pocet_ridicu","pohlavi_txt","uzemi_typ","stav_k_datu"
"Beroun",23,381,24,198,4,76,11,11,1,2,0,29,760,21465,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Brandýs nad Labem-Stará Boleslav",39,447,33,326,6,97,27,16,5,5,4,30,1035,37315,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Čáslav",13,112,8,58,4,16,7,4,0,2,1,11,236,8107,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Černošice",64,539,44,480,16,123,29,16,4,5,6,34,1360,50899,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Český Brod",7,51,9,39,0,17,5,1,1,1,2,16,149,6395,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Dobříš",6,44,8,47,1,15,3,3,0,1,3,8,139,7730,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Hořovice",6,198,10,93,5,25,6,8,3,1,1,13,369,9720,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Kladno",28,310,44,234,9,71,19,8,3,5,0,66,797,37344,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Kolín",20,249,15,156,8,41,12,5,3,1,2,48,560,25452,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Kralupy nad Vltavou",10,167,8,89,1,20,5,5,2,3,3,20,333,9738,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Kutná Hora",14,182,15,111,7,34,10,6,2,2,1,21,405,15853,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Lysá nad Labem",10,102,23,79,3,21,6,5,2,2,0,10,263,8743,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Mělník",13,136,11,106,1,29,14,7,1,2,0,23,343,14181,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Mladá Boleslav",24,283,43,244,9,72,18,9,2,3,2,43,752,33793,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Mnichovo Hradiště",9,53,10,35,1,11,1,0,1,2,0,13,136,5936,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Neratovice",9,189,14,96,2,17,5,8,0,3,2,13,358,9589,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Nymburk",9,99,7,78,4,23,9,2,1,2,2,18,254,12805,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Poděbrady",14,126,15,80,3,26,10,4,0,1,0,17,296,10421,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Příbram",10,142,35,188,2,48,8,7,3,0,3,20,466,22430,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Rakovník",16,170,24,98,4,31,26,6,1,3,0,22,401,16845,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Říčany",32,272,23,226,8,37,8,11,2,6,3,27,655,25162,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Sedlčany",2,42,15,55,2,8,2,1,0,1,0,8,136,7380,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Slaný",14,92,14,84,1,25,13,7,1,1,0,22,274,12458,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Vlašim",6,55,4,48,2,21,2,4,0,2,0,6,150,8088,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Votice",1,34,4,25,0,5,2,1,0,0,0,10,82,4011,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Středočeský kraj",412,4577,476,3429,109,941,268,160,39,61,35,563,11070,441481,"žena","kraj","2025_03"
